iter	RMSE
0	83.41301817
1	81.77873413
2	80.21506945
3	78.71313
4	77.29467811
5	75.83562185
6	74.62365036
7	73.30241855
8	72.1281983
9	70.97779796
10	69.89106367
11	68.89196346
12	67.89730314
13	66.94567077
14	65.98884966
15	65.10829158
16	64.21454387
17	63.39466715
18	62.47988532
19	61.65211743
20	60.92949543
21	60.31436475
22	59.5313765
23	58.83788973
24	58.20174123
25	57.47614904
26	56.76880009
27	56.09263236
28	55.60790855
29	55.05394443
30	54.57002723
31	54.13619075
32	53.64047571
33	53.21592009
34	52.75788625
35	52.35707521
36	51.88612212
37	51.49288432
38	50.98970201
39	50.58432525
40	50.25373761
41	49.89196408
42	49.49863701
43	49.14551612
44	48.71610415
45	48.40988681
46	48.09272483
47	47.73988291
48	47.40231407
49	47.10048004
50	46.82117566
51	46.56778599
52	46.33215134
53	46.02960283
54	45.7741853
55	45.5541149
56	45.35102314
57	45.11993782
58	44.93410721
59	44.76540555
60	44.5891629
61	44.33805157
62	44.29017529
63	44.17571556
64	44.04835829
65	43.88867996
66	43.78923731
67	43.63559467
68	43.46801947
69	43.29617158
70	43.19496673
71	43.04729883
72	42.87877382
73	42.69258663
74	42.53293729
75	42.39384163
76	42.25263659
77	42.11613199
78	41.9389577
79	41.86124853
80	41.81630788
81	41.67572677
82	41.53840031
83	41.40588542
84	41.30900597
85	41.21309405
86	40.99810656
87	40.88296815
88	40.7453315
89	40.59799643
90	40.44272678
91	40.272323
92	40.15593771
93	40.06010745
94	39.98375392
95	39.95857206
96	39.89841315
97	39.75281878
98	39.66038302
99	39.53131629
100	39.42346598
101	39.29339624
102	39.19238106
103	39.05250136
104	38.93449744
105	38.81826131
106	38.76593575
107	38.61421533
108	38.53722909
109	38.43570929
110	38.40434628
111	38.26846751
112	38.14733183
113	38.07059225
114	38.00153323
115	37.91298054
116	37.79201956
117	37.71637977
118	37.64201654
119	37.53484999
120	37.4356837
121	37.33914178
122	37.2760059
123	37.21191498
124	37.1100327
125	37.0356166
126	36.95920294
127	36.89841933
128	36.80303768
129	36.73766002
130	36.64616919
131	36.57520604
132	36.48608527
133	36.44531273
134	36.3333747
135	36.26925042
136	36.2363704
137	36.1145999
138	36.0153089
139	35.94643267
140	35.83957429
141	35.77974577
142	35.70189874
143	35.63443315
144	35.5835281
145	35.51669156
146	35.43225198
147	35.39398638
148	35.31224978
149	35.21350238
150	35.1304214
151	35.05751982
152	35.03360484
153	34.95761525
154	34.9239214
155	34.8190625
156	34.79538387
157	34.76007943
158	34.69561464
159	34.61956084
160	34.53792956
161	34.45447286
162	34.40184949
163	34.34929007
164	34.2955292
165	34.24034814
166	34.19095769
167	34.13315919
168	34.0616946
169	33.99223617
170	33.95803297
171	33.87740875
172	33.86012766
173	33.82672466
174	33.76244852
175	33.69971474
176	33.65870335
177	33.59416398
178	33.55803257
179	33.48922457
180	33.47592827
181	33.43310552
182	33.42191437
183	33.35743535
184	33.30437691
185	33.29074543
186	33.23879795
187	33.20615658
188	33.11113432
189	33.05826261
190	33.00133405
191	32.94589214
192	32.87730581
193	32.84826909
194	32.77038659
195	32.67795599
196	32.66853641
197	32.59117364
198	32.53508038
199	32.52460248
200	32.50868691
201	32.45553428
202	32.38776593
203	32.31001975
204	32.25511131
205	32.20106235
206	32.15312642
207	32.10513827
208	32.02820302
209	31.98401871
210	31.94559394
211	31.88919054
212	31.82070355
213	31.81327575
214	31.74739024
215	31.68188503
216	31.62053497
217	31.55647446
218	31.4792777
219	31.43442168
220	31.37802698
221	31.33562264
222	31.30169829
223	31.25533502
224	31.21561396
225	31.19140755
226	31.07271752
227	31.05499141
228	30.98710392
229	30.93109773
230	30.86678292
231	30.82603474
232	30.77399804
233	30.73120323
234	30.67284764
235	30.63495838
236	30.55464688
237	30.50667261
238	30.46556327
239	30.45530574
240	30.44225458
